,item1,item2,value,class
568,正向,工作地點,4,情緒
569,負向,工作地點,8,情緒
570,成就感,公司規模,0,成長價值
571,學習成長,公司規模,6,成長價值
572,創新,公司規模,0,成長價值
573,薪資,公司規模,16,經濟報酬
574,福利,公司規模,5,經濟報酬
575,管理制度,公司規模,9,經濟報酬
576,工作氛圍,公司規模,2,人際價值
577,同事互動,公司規模,9,人際價值
578,主管風格,公司規模,5,人際價值
579,工作地點,公司規模,0,組織安全與安定
580,公司規模,公司規模,55,組織安全與安定
581,工作環境,公司規模,4,組織安全與安定
582,產業前景,公司規模,0,組織安全與安定
583,輪調,公司規模,0,變化性
584,外派,公司規模,10,變化性
585,出差,公司規模,0,變化性
586,引擎,公司規模,0,產品與服務
587,馬力,公司規模,0,產品與服務
588,避震,公司規模,0,產品與服務
589,外觀,公司規模,0,產品與服務
590,操控,公司規模,0,產品與服務
591,安全,公司規模,0,產品與服務
592,堅固,公司規模,0,產品與服務
593,配備,公司規模,1,產品與服務
594,價錢,公司規模,0,產品與服務
595,科技,公司規模,2,產品與服務
596,品質,公司規模,0,產品與服務
597,折舊,公司規模,0,產品與服務
598,品牌,公司規模,6,產品與服務
599,空間,公司規模,1,產品與服務
600,保養,公司規模,0,產品與服務
601,續航,公司規模,0,產品與服務
602,尺寸,公司規模,0,產品與服務
603,車種,公司規模,1,產品與服務
604,驅動,公司規模,0,產品與服務
605,變速箱,公司規模,0,產品與服務
606,電資,公司規模,1,科系專業
607,機械,公司規模,0,科系專業
608,製造,公司規模,0,科系專業
609,車輛工程,公司規模,0,科系專業
610,品管,公司規模,0,科系專業
611,多元性,公司規模,2,公司文化與價值
612,企業社會責任,公司規模,0,公司文化與價值
613,企業永續目標,公司規模,0,公司文化與價值
614,面試,公司規模,5,招募資訊
615,徵才,公司規模,0,招募資訊
616,實習,公司規模,4,招募資訊
617,工作,公司規模,17,招募資訊
618,離職,公司規模,0,招募資訊
619,轉職,公司規模,0,招募資訊
620,新鮮人,公司規模,1,招募資訊
621,畢業,公司規模,1,招募資訊
622,出路,公司規模,0,招募資訊
623,能力,公司規模,6,招募資訊
624,招募人員,公司規模,5,招募人員
625,正向,公司規模,28,情緒
626,負向,公司規模,29,情緒
627,成就感,工作環境,0,成長價值
628,學習成長,工作環境,1,成長價值
629,創新,工作環境,0,成長價值
630,薪資,工作環境,4,經濟報酬
631,福利,工作環境,6,經濟報酬
632,管理制度,工作環境,0,經濟報酬
633,工作氛圍,工作環境,4,人際價值
634,同事互動,工作環境,2,人際價值
635,主管風格,工作環境,5,人際價值
636,工作地點,工作環境,0,組織安全與安定
637,公司規模,工作環境,4,組織安全與安定
638,工作環境,工作環境,27,組織安全與安定
639,產業前景,工作環境,2,組織安全與安定
640,輪調,工作環境,0,變化性
641,外派,工作環境,1,變化性
642,出差,工作環境,2,變化性
643,引擎,工作環境,0,產品與服務
644,馬力,工作環境,0,產品與服務
645,避震,工作環境,0,產品與服務
646,外觀,工作環境,0,產品與服務
647,操控,工作環境,0,產品與服務
648,安全,工作環境,2,產品與服務
649,堅固,工作環境,0,產品與服務
650,配備,工作環境,1,產品與服務
651,價錢,工作環境,0,產品與服務
652,科技,工作環境,0,產品與服務
653,品質,工作環境,1,產品與服務
654,折舊,工作環境,0,產品與服務
655,品牌,工作環境,2,產品與服務
656,空間,工作環境,0,產品與服務
657,保養,工作環境,0,產品與服務
658,續航,工作環境,2,產品與服務
659,尺寸,工作環境,0,產品與服務
660,車種,工作環境,0,產品與服務
661,驅動,工作環境,0,產品與服務
662,變速箱,工作環境,0,產品與服務
663,電資,工作環境,1,科系專業
664,機械,工作環境,0,科系專業
665,製造,工作環境,0,科系專業
666,車輛工程,工作環境,0,科系專業
667,品管,工作環境,1,科系專業
668,多元性,工作環境,0,公司文化與價值
669,企業社會責任,工作環境,0,公司文化與價值
670,企業永續目標,工作環境,0,公司文化與價值
671,面試,工作環境,0,招募資訊
